序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、你的手机的品牌是？,2、您使用的手机的具体名称、型号是什么？,3、您的手机价值多少元？（如果不记得可以估计或者不答）,4、你觉得你的手机怎么样？,5、如果你可以随意选择一款手机，你想要的手机的品牌是？,6、如果你可以随意选择一款手机，你选择什么品牌、名称、型号？,7、这款手机价格多少元？（可以估算）,8、(内存),8、(价格),8、(容量),8、(系统),8、(品牌),8、(宣传),8、(屏幕清晰度),8、(屏幕刷新率),8、(屏幕大小),8、(电池),9、你每天使用手机的时间大约是？
1,2021/4/26 19:50,49秒,微信,N/A,180.162.3.3(上海-上海),1,iphone12,8999,1,1,iPhone12 pro max,12999,1,1,1,1,1,1,1,1,1,1,10
2,2021/4/26 19:55:09,65秒,微信,N/A,116.226.145.27(上海-上海),1,iPhone 12 pro,一万不到,2,1,12 pro max,一万出头,1,0,1,1,0,0,1,1,1,1,4
3,2021/4/26 19:55:12,63秒,微信,N/A,223.104.212.115(上海-上海),1,iphone 11 pro,(空),1,,,,0,1,0,0,1,1,0,0,1,0,10
4,2021/4/26 20:01:58,118秒,手机提交,直接访问,101.86.212.100(上海-上海),1,7,2000,3,1,苹果7,2000,0,0,0,0,0,0,0,0,0,0,3
5,2021/4/26 20:03:16,49秒,微信,N/A,101.224.4.48(上海-上海),1,Iphone11,(空),2,1,iphone12promax,10000,1,0,0,1,1,0,0,0,0,1,6
6,2021/4/26 20:03:32,112秒,微信,N/A,101.88.227.250(上海-上海),1,Iphone x,10000,3,,,,0,0,0,0,1,0,0,0,0,0,3
7,2021/4/26 20:03:51,61秒,微信,N/A,116.235.53.95(上海-上海),1,11,现在4000,2,1,iPhone 12,6000,1,1,1,1,0,0,1,1,1,1,4
8,2021/4/26 20:09:09,116秒,微信,N/A,101.80.198.116(上海-上海),3,mate20,(空),3,1,12promax,10000～,1,1,1,1,0,0,1,1,0,1,6
9,2021/4/26 20:10:32,53秒,微信,N/A,112.65.48.204(上海-上海),1,12,8000,1,,,,1,0,0,0,0,0,1,0,0,1,10
10,2021/4/26 20:33:09,66秒,微信,N/A,101.80.199.186(上海-上海),1,iphonex,9000买的时候,2,1,iphone12,10000,1,0,0,0,0,0,0,0,0,1,4
11,2021/4/26 20:41:28,69秒,微信,N/A,180.162.3.3(上海-上海),1,iPhone12,8999,1,1,iPhone12 pro max,12999,1,1,1,1,1,1,1,1,1,1,10
12,2021/4/26 20:47:01,48秒,微信,N/A,101.224.201.91(上海-上海),1,7plus,(空),3,1,iphone 8,1000,1,0,1,0,0,0,1,0,0,1,4
13,2021/4/26 20:58:57,76秒,微信,N/A,120.204.79.218(上海-上海),1,iPhone6,不知道,2,,,,1,0,1,1,0,0,1,0,0,1,2
14,2021/4/26 21:14:31,81秒,微信,N/A,101.84.6.125(上海-上海),1,苹果11,(空),2,1,iphone12pro,(空),1,0,1,1,0,0,1,1,1,1,2
15,2021/4/26 21:16:07,41秒,微信,N/A,114.84.64.129(上海-上海),1,iPhone11,(空),3,1,iphone12,(空),0,0,0,1,0,0,0,0,0,1,5
16,2021/4/26 21:43:47,106秒,微信,N/A,180.162.226.25(上海-上海),1,iPhone X,买的时候大概10000左右,2,1,Apple iPhone 12 Pro Max 512G,13000+,1,1,1,1,0,0,1,1,1,1,1
17,2021/4/26 22:16:58,108秒,微信,N/A,222.67.50.163(上海-上海),1,iPhone8plus,当时8000 现在大概低一点,3,1,苹果最新款256gb,11000？,1,1,1,1,1,0,1,1,1,1,2
18,2021/4/26 22:21:55,62秒,微信,N/A,116.237.122.88(上海-上海),1,iPhone 11 Pro max,(空),2,1,iPhone xs I think I can’t remember,Idk,1,0,1,0,0,0,0,0,1,0,2
19,2021/4/27 19:24:10,87秒,微信,N/A,101.88.155.55(上海-上海),1,13,12000,1,1,iPhone14,99999,1,0,1,1,1,0,1,1,1,1,10
21,2021/4/29 14:22:01,47秒,微信,N/A,114.87.152.3(上海-上海),1,iPhone 7,(空),1,1,iPhone 7,5000,1,1,0,1,1,0,1,0,1,1,7
22,2021/4/29 14:22:09,106秒,微信,N/A,180.158.6.56(上海-上海),1,iphone 12,9000,5,1,iPhone 12 pro max,12000,1,1,1,1,1,1,1,1,1,1,10